IP_Address,DateTime,Date,Time,Lat_Lng,gcl_wbr,bot_yn,Gbot_yn,UsrAgntSHORT
2868,3653,7,4674,127,4,0,0,12
312,3654,7,4693,127,4,0,0,12
1578,3656,7,4732,127,4,0,0,45
2428,3656,7,4733,127,4,0,0,12
2418,3657,7,4748,127,4,0,0,45
2418,3657,7,4749,127,4,0,0,45
3180,3658,7,4754,127,13,0,0,31
2188,3660,7,4761,127,4,0,0,12
809,3660,7,4763,127,13,0,0,31
892,3660,7,4763,127,13,0,0,12
2188,3660,7,4765,127,4,0,0,12
343,3661,7,4784,127,4,0,0,12
2083,3663,7,4830,127,13,0,0,31
2723,3664,7,4839,127,4,0,0,12
2220,3664,7,4841,127,4,0,0,12
894,3664,7,4842,127,4,0,0,45
2430,3664,7,4845,127,4,0,0,45
1252,3665,7,4864,127,4,0,0,31
2708,3666,7,4881,127,4,0,0,12
2095,3667,7,4885,127,13,0,0,14
2490,3669,7,4960,127,4,0,0,12
2490,3669,7,4961,127,4,0,0,12
3956,3669,7,4962,127,13,0,0,31
3174,3670,7,4972,127,13,0,0,31
2958,3672,7,4985,127,4,0,0,45
320,3673,7,5004,127,4,0,0,45
320,3673,7,5004,127,4,0,0,45
1539,3674,7,5019,127,4,0,0,45
1539,3674,7,5021,127,4,0,0,45
3159,3675,7,5048,127,13,0,0,31
2726,3676,7,5060,127,4,0,0,12
3172,3677,7,5107,127,4,0,0,12
2228,3678,7,5121,127,4,0,0,45
786,3681,7,5161,127,13,0,0,12
2228,3681,7,5163,127,4,0,0,45
2263,3682,7,5173,127,4,0,0,9
3204,3682,7,5174,127,4,0,0,45
2675,3684,7,5195,127,4,0,0,45
2449,3684,7,5199,127,4,0,0,12
893,3685,7,5219,127,13,0,0,31
3204,3687,7,5229,127,4,0,0,45
2928,3688,7,5254,127,4,0,0,12
3150,3688,7,5256,127,4,0,0,12
3150,3689,7,5261,127,4,0,0,18
3150,3689,7,5261,127,4,0,0,18
3150,3689,7,5263,127,4,0,0,18
2077,3689,7,5264,127,13,0,0,31
725,3691,7,5300,127,13,0,0,31
366,3694,7,5338,127,4,0,0,45
2169,3695,7,5375,127,4,0,0,12
318,3695,7,5377,127,4,0,0,45
318,3696,7,5392,127,4,0,0,45
318,3696,7,5392,127,4,0,0,45
1999,3697,7,5394,127,13,0,0,31
2234,3698,7,5399,127,4,0,0,45
2151,3703,7,5432,127,4,0,0,12
2952,3707,7,5520,127,4,0,0,45
2952,3708,7,5522,127,4,0,0,45
1279,3708,7,5528,127,4,0,0,12
2632,3709,7,5541,127,4,0,0,12
2632,3709,7,5542,127,4,0,0,12
2632,3709,7,5544,127,13,0,0,12
1155,3712,7,5588,127,13,0,0,31
2590,3713,7,5604,127,4,0,0,45
1155,3713,7,5605,127,13,0,0,31
2766,3715,7,5650,127,4,0,0,45
2766,3715,7,5651,127,4,0,0,45
2766,3715,7,5652,127,4,0,0,45
1239,3717,7,5665,127,4,0,0,31
1239,3717,7,5668,127,13,0,0,31
379,3719,7,5689,127,4,0,0,45
3722,3719,7,5691,127,13,0,0,31
3722,3719,7,5692,127,13,0,0,31
3722,3720,7,5696,127,13,0,0,31
2669,3720,7,5698,127,4,0,0,45
1687,3721,7,5711,127,4,0,0,31
1687,3722,7,5724,127,13,0,0,31
1687,3722,7,5725,127,13,0,0,31
2191,3722,7,5725,127,4,0,0,45
2191,3723,7,5728,127,4,0,0,45
1687,3723,7,5734,127,13,0,0,31
19,3724,7,5742,127,13,0,0,31
868,3725,7,5749,127,10,0,0,47
3904,3728,7,5770,127,13,0,0,31
3015,3729,7,5777,127,4,0,0,12
1155,3866,8,16,127,13,0,0,31
